video_id,video_length_sec,original_bitrate_kbps,target_resolution,transcoding_time_sec,vmaf_score
vid0001,6.039,11534.3,144,1.12,12.81
vid0001,6.039,11534.3,240,2.31,47.98
vid0001,6.039,11534.3,288,2.66,61.35
vid0001,6.039,11534.3,360,3.0,74.73
vid0001,6.039,11534.3,480,4.4,85.64
vid0001,6.039,11534.3,720,6.5,93.32
vid0001,6.039,11534.3,1080,8.12,100.0
vid0002,9.243,8299.9,144,1.6,15.26
vid0002,9.243,8299.9,240,3.53,45.16
vid0002,9.243,8299.9,288,4.12,58.19
vid0002,9.243,8299.9,360,4.72,71.23
vid0002,9.243,8299.9,480,7.03,84.04
vid0002,9.243,8299.9,720,10.56,94.28
vid0002,9.243,8299.9,1080,13.2,100.0
vid0003,6.773,9421.4,144,1.25,11.5
vid0003,6.773,9421.4,240,2.66,39.78
vid0003,6.773,9421.4,288,3.11,54.43
vid0003,6.773,9421.4,360,3.56,69.08
vid0003,6.773,9421.4,480,5.39,82.9
vid0003,6.773,9421.4,720,8.01,95.04
vid0003,6.773,9421.4,1080,10.01,100.0
vid0004,9.142,10815.5,144,1.69,16.35
vid0004,9.142,10815.5,240,3.61,48.84
vid0004,9.142,10815.5,288,4.27,62.64
vid0004,9.142,10815.5,360,4.93,76.43
vid0004,9.142,10815.5,480,7.46,89.17
vid0004,9.142,10815.5,720,11.57,97.25
vid0004,9.142,10815.5,1080,14.46,100.0
vid0005,6.707,10507.8,144,1.23,10.13
vid0005,6.707,10507.8,240,2.61,38.1
vid0005,6.707,10507.8,288,3.03,53.76
vid0005,6.707,10507.8,360,3.45,69.42
vid0005,6.707,10507.8,480,5.13,83.54
vid0005,6.707,10507.8,720,7.62,94.47
vid0005,6.707,10507.8,1080,9.52,100.0
vid0006,6.006,9296.3,144,1.16,12.19
vid0006,6.006,9296.3,240,2.43,43.47
vid0006,6.006,9296.3,288,2.86,57.28
vid0006,6.006,9296.3,360,3.29,71.08
vid0006,6.006,9296.3,480,4.96,84.67
vid0006,6.006,9296.3,720,7.56,95.5
vid0006,6.006,9296.3,1080,9.45,100.0
vid0007,7.341,9936.7,144,1.3,10.0
vid0007,7.341,9936.7,240,2.83,38.43
vid0007,7.341,9936.7,288,3.32,53.08
vid0007,7.341,9936.7,360,3.81,67.74
vid0007,7.341,9936.7,480,5.73,81.4
vid0007,7.341,9936.7,720,8.48,92.39
vid0007,7.341,9936.7,1080,10.6,100.0
vid0008,8.175,8819.1,144,1.49,12.51
vid0008,8.175,8819.1,240,3.26,41.74
vid0008,8.175,8819.1,288,3.86,54.87
vid0008,8.175,8819.1,360,4.45,68.0
vid0008,8.175,8819.1,480,6.66,82.05
vid0008,8.175,8819.1,720,10.43,94.47
vid0008,8.175,8819.1,1080,13.04,100.0
vid0009,6.34,12345.3,144,1.24,14.13
vid0009,6.34,12345.3,240,2.58,44.66
vid0009,6.34,12345.3,288,3.05,59.43
vid0009,6.34,12345.3,360,3.53,74.21
vid0009,6.34,12345.3,480,5.35,87.7
vid0009,6.34,12345.3,720,8.13,96.1
vid0009,6.34,12345.3,1080,10.16,100.0
vid0010,7.941,10595.6,144,1.41,10.06
vid0010,7.941,10595.6,240,3.08,40.08
vid0010,7.941,10595.6,288,3.6,54.92
vid0010,7.941,10595.6,360,4.12,69.76
vid0010,7.941,10595.6,480,6.19,83.2
vid0010,7.941,10595.6,720,9.27,94.09
vid0010,7.941,10595.6,1080,11.59,100.0
vid0011,8.108,10731.1,144,1.5,13.43
vid0011,8.108,10731.1,240,3.26,42.29
vid0011,8.108,10731.1,288,3.86,55.9
vid0011,8.108,10731.1,360,4.46,69.51
vid0011,8.108,10731.1,480,6.61,83.72
vid0011,8.108,10731.1,720,11.23,95.2
vid0011,8.108,10731.1,1080,14.04,100.0
vid0012,9.443,10048.1,144,1.61,10.7
vid0012,9.443,10048.1,240,3.59,38.3
vid0012,9.443,10048.1,288,4.19,52.89
vid0012,9.443,10048.1,360,4.79,67.47
vid0012,9.443,10048.1,480,7.21,81.12
vid0012,9.443,10048.1,720,10.67,91.94
vid0012,9.443,10048.1,1080,13.34,100.0
vid0013,7.708,10531.7,144,1.44,13.04
vid0013,7.708,10531.7,240,3.11,44.25
vid0013,7.708,10531.7,288,3.73,58.38
vid0013,7.708,10531.7,360,4.34,72.52
vid0013,7.708,10531.7,480,6.59,86.45
vid0013,7.708,10531.7,720,10.37,95.86
vid0013,7.708,10531.7,1080,12.96,100.0
vid0014,6.24,11010.0,144,1.15,12.56
vid0014,6.24,11010.0,240,2.44,38.66
vid0014,6.24,11010.0,288,2.85,52.85
vid0014,6.24,11010.0,360,3.25,67.04
vid0014,6.24,11010.0,480,4.9,81.18
vid0014,6.24,11010.0,720,7.32,92.96
vid0014,6.24,11010.0,1080,9.15,100.0
vid0015,8.542,13769.2,144,1.63,12.14
vid0015,8.542,13769.2,240,3.44,39.95
vid0015,8.542,13769.2,288,4.02,54.7
vid0015,8.542,13769.2,360,4.6,69.44
vid0015,8.542,13769.2,480,7.01,83.72
vid0015,8.542,13769.2,720,10.84,95.25
vid0015,8.542,13769.2,1080,13.55,100.0
vid0016,7.007,10752.3,144,1.29,10.06
vid0016,7.007,10752.3,240,2.72,39.74
vid0016,7.007,10752.3,288,3.18,54.84
vid0016,7.007,10752.3,360,3.64,69.94
vid0016,7.007,10752.3,480,5.47,83.41
vid0016,7.007,10752.3,720,8.12,93.93
vid0016,7.007,10752.3,1080,10.15,100.0
vid0017,5.172,10177.6,144,1.0,10.58
vid0017,5.172,10177.6,240,2.08,36.2
vid0017,5.172,10177.6,288,2.45,51.99
vid0017,5.172,10177.6,360,2.81,67.78
vid0017,5.172,10177.6,480,4.24,82.29
vid0017,5.172,10177.6,720,6.42,93.94
vid0017,5.172,10177.6,1080,8.02,100.0
vid0018,7.14,9999.5,144,1.3,12.27
vid0018,7.14,9999.5,240,2.84,42.16
vid0018,7.14,9999.5,288,3.33,56.12
vid0018,7.14,9999.5,360,3.83,70.08
vid0018,7.14,9999.5,480,5.75,83.09
vid0018,7.14,9999.5,720,8.85,93.54
vid0018,7.14,9999.5,1080,11.06,100.0
vid0019,9.509,9949.1,144,1.6,11.05
vid0019,9.509,9949.1,240,3.51,41.08
vid0019,9.509,9949.1,288,4.07,54.58
vid0019,9.509,9949.1,360,4.63,68.08
vid0019,9.509,9949.1,480,6.89,81.17
vid0019,9.509,9949.1,720,10.24,91.73
vid0019,9.509,9949.1,1080,12.8,100.0
vid0020,9.209,12111.9,144,1.68,13.11
vid0020,9.209,12111.9,240,3.6,41.48
vid0020,9.209,12111.9,288,4.25,55.99
vid0020,9.209,12111.9,360,4.89,70.49
vid0020,9.209,12111.9,480,7.35,84.47
vid0020,9.209,12111.9,720,11.23,95.57
vid0020,9.209,12111.9,1080,14.04,100.0
vid0021,7.841,11866.0,144,1.49,11.51
vid0021,7.841,11866.0,240,3.16,39.94
vid0021,7.841,11866.0,288,3.75,54.25
vid0021,7.841,11866.0,360,4.34,68.56
vid0021,7.841,11866.0,480,6.64,82.83
vid0021,7.841,11866.0,720,10.36,95.38
vid0021,7.841,11866.0,1080,12.95,100.0
vid0022,7.374,11307.4,144,1.38,24.84
vid0022,7.374,11307.4,240,2.91,55.8
vid0022,7.374,11307.4,288,3.37,68.57
vid0022,7.374,11307.4,360,3.83,81.34
vid0022,7.374,11307.4,480,5.86,93.69
vid0022,7.374,11307.4,720,9.06,99.17
vid0022,7.374,11307.4,1080,11.32,100.0
vid0023,8.809,8259.7,144,1.55,12.44
vid0023,8.809,8259.7,240,3.35,40.97
vid0023,8.809,8259.7,288,3.97,53.73
vid0023,8.809,8259.7,360,4.59,66.5
vid0023,8.809,8259.7,480,7.0,79.78
